IME TRGOVINE,IME PROIZVODA,MASA (g),CIJENA (€),ENERGETSKA VRIJEDNOST / 100g (kcal),MASTI (g),ZASIĆENE MASNE KISELINE(g),TRANS MASTI (g),UGLJIKOHIDRATI (g),ŠEĆER (g),VLAKNA (g),BJELANČEVINE (g),SOL (g)
DM,Kimchi,270,4.63,41,0.5,0.1,0,8.7,1.4,3.2,1.4,2
DM,Varivo od graška,400,2.24,59,0.9,0.1,0,7.9,1.5,2.9,3.3,0.98
DM,Varivo od leće,400,2.24,64,1,0.1,0,8.6,1.6,3.4,3.3,1.1
DM,Varivo od slanutka,400,2.24,91,3.1,2.4,0,11,2.5,2.6,3,1.2
DM,Sušene rajčice organic,180,3.97,224,18,2.7,0,11,9.2,3,5.9,3.7
DM,Varivo od graha,400,2.24,77,0.4,0.1,0,10,3.6,4.3,5.6,1.3
DM,Gotovo jelo od prosa,170,2.24,116,2.7,0.4,0,19,2.3,2,2.8,1.1
DM,Grah u umaku od rajčice,230,3.3,149,7.2,0.8,0,13,3.3,5.8,5,0.96
DM,Veganska zamjena za salatu s mesom,180,2.64,216,17,2.2,0,8.3,6.1,1.3,5.5,1.4
DM,Grah u umaku od rajčice,230,3.3,149,7.2,0.8,0,13,3.3,5.8,5,0.96
McDonald's,McChicken,138,,260.8,11.5,2.1,0,28.9,3.6,1.4,10.1,1.4
McDonald's,Big Mac,211,,260.6,11.8,4.7,0.2,21.8,4.2,1.4,11.8,0.47
McDonald's,McCheeseburger,102,,295,13,5,0.2,33,0,3,13,1
McDonald's,Chicken McNuggets 6 piece,114,,280,18,3,0.1,18,0,1,13,2
McDonald's,Big Tasty,232,,359.9,21.9,9,0.4,21.1,4.7,2.1,19.8,0.5
McDonald's,McVegan,96,,423,21,1.9,0,39,6.7,6.9,18,2
McDonald's,McWrap,108,,350,22,2,0.1,48,7,5,25,2
McDonald's,Premium McWrap,110,,360,9,2.5,0.1,44,10,2,27,1
McDonald's,Sausage and Egg McMuffin,121,,400,26,10,0.5,29,2,2,14,1
McDonald's,Filet o Fish,124,,301,9.4,2.2,0.2,39,5,1,15,1
KFC,Zinger Burger,199,,218,9.5,1.4,0,23,4,1,15,0.5
KFC,Chicken Drumstick,56,,232,14.3,2.7,0.1,7,6,2,21,0.8
KFC,Popcorn Chicken,122,,336,19.7,2.5,0.1,22,4,2,18,1.1
KFC,Hot Wings 2,44,,318,18.2,4.5,0.2,14,4,1,18,0.7
KFC,Chicken Strips 3,151,,232,13,2.3,0,11,0,0,19,0.8
KFC,Chicken Tenders 3,155,,245,13,1.6,0,11,7,2,21,0.8
KFC,Chicken Kentucky Grilled Thigh,88,,193,11,3.4,0,0,0,0,22,0.8
KFC,4 Zinger Wings,100,,359,20,6.7,0.4,17,6,3,26,1.1
KFC,Chicken Pot Pie,380,,189,11,6.6,0,16,1,2,7,0.5
KFC,Vegan Burger,200,,200,9,1,0,22,4,2,8,1.3
Burger King, Whopper,291,,233,13,4.3,0.5,19,4,2,11,0.5
Burger King,Double Whopper,374,,252,16,6,0.7,14,4,1,14,0.6
Burger King,Croissanwich with egg and cheese,110,,283,16,5,0.4,25,4,1,10,0.2
Burger King,Original Chicken Sandwich,218,,314,18,3.3,0.2,28,3,1,11,0.5
Burger King,Burger King Chicken Nuggets 10 piece,175,,246,15.4,2.6,0.1,15,2,1,11,0.5
Burger King,Bacon Double Cheeseburger,150,,307,17.6,8,0.6,18,3,1,20,0.9
Burger King,BK Veggie Burger,214,,182,7.5,1.2,0,21,4,2,10,0.3
Burger King,Crispy Chicken Sandwich,210,,260,21,4,0.2,30,4,2,11,0.6
Burger King,Original Chicken Sandwich,190,,237,8.2,1.3,0,27,4,2,15,0.6
Burger King,Steakhouse,300,,274,16,6.1,0.8,20,4.5,2,13,1.2
